Venus, 4.8685e+24, 6051.8, 2.80721e+10, 1.03975e+11, -1.91245e+08, -33964.3, 8853.61, 2081.59, 86400
Moon, 7.349e+22, 1737.53, 9.64188e+10, -1.17596e+11, -1.82495e+07, 22841.6, 17882.6, 87.0351, 86400
Earth, 5.97219e+24, 6371.01, 9.68099e+10, -1.17486e+11, -1.44484e+07, 22526.6, 18837.4, -1.95835, 86400
Phobos, 1.08e+16, 13.1, -5.21574e+10, -2.16124e+11, -3.33298e+09, 19415.8, 38528.8, 5144.33, 86400
Deimos, 1.8e+15, 7.8, -5.2427e+10, -2.16132e+11, -3.19752e+09, 23132.5, -10380.3, -678.86, 86400
Mars, 6.4185e+23, 3389.9, -5.23221e+10, -2.16153e+11, -3.24992e+09, 24467.1, -3650.19, -677.177, 86400
Io, 8.933e+22, 1821.3, -4.22837e+11, 6.66008e+11, 6.63313e+09, -18805.2, -70202.1, -2137.14, 86400
Europa, 4.797e+22, 1565, -4.2238e+11, 6.66624e+11, 6.67098e+09, -27412.6, -28555.6, -914.634, 86400
Ganymede, 1.482e+23, 2634, -4.20028e+11, 6.66487e+11, 6.69143e+09, -17968.6, 6456.51, 672.187, 86400
Callisto, 1.076e+23, 2403, -4.22769e+11, 6.67196e+11, 6.67369e+09, -17151, -12732.8, -6.02688, 86400
Jupiter, 1.89813e+27, 71492, -4.21287e+11, 6.65822e+11, 6.64996e+09, -11196.7, -6366.6, 277.179, 86400
Mimas, 3.75e+19, 198.8, -9.04637e+11, -1.17663e+12, 5.6906e+10, 93932, 34263.8, -29197.4, 86400
Enceladus, 1.0805e+20, 252.3, -9.05655e+11, -1.17651e+12, 5.6981e+10, 61842.4, -26946.8, 5522.58, 86400
Tethys, 6.176e+20, 536.3, -9.04426e+11, -1.17512e+12, 5.61237e+10, -15541.7, 23779.3, -12754.8, 86400
Dione, 1.09572e+21, 562.5, -9.0474e+11, -1.17632e+12, 5.67947e+10, 27913.5, 5457.4, -8140.06, 86400
Rhea, 2.309e+21, 764.5, -9.06151e+11, -1.17566e+12, 5.65819e+10, 8775.41, -18790.5, 6312.97, 86400
Titan, 1.34553e+23, 2575.5, -9.0646e+11, -1.17503e+12, 5.62929e+10, 4587.51, -10442.3, 2402.91, 86400
Hyperion, 1.08e+19, 133, -9.06815e+11, -1.17575e+12, 5.66945e+10, 7443.68, -10537.9, 2097.84, 86400
Iapetus, 1.8059e+21, 734.5, -9.05454e+11, -1.17909e+12, 5.73181e+10, 10316.5, -6151.06, -769.154, 86400
Phoebe, 8.289e+18, 106.6, -8.93517e+11, -1.17904e+12, 5.50337e+10, 6385.43, -7551.93, -97.0284, 86400
Janus, 1.98e+18, 97, -9.06497e+11, -1.17501e+12, 5.6276e+10, -57241.8, -118908, 65627.9, 86400
Epimetheus, 5.5e+17, 69, -9.05667e+11, -1.17444e+12, 5.5889e+10, -127070, -38192.7, 29215.4, 86400
Helene, 2.547e+16, 16, -9.04321e+11, -1.17563e+12, 5.63916e+10, 6763.68, 16086.3, -11768.4, 86400
Telesto, 7.194e+15, 15, -9.05374e+11, -1.17469e+12, 5.6023e+10, -31861.5, -8275.44, 5141.51, 86400
Calypso, 3.597e+15, 15, -9.0436e+11, -1.17608e+12, 5.66094e+10, 25593.8, 23706.3, -18383, 86400
Prometheus, 1.4e+17, 74, -9.06394e+11, -1.17633e+12, 5.69599e+10, 110039, -129176, 54457.9, 86400
Pandora, 1.3e+17, 55, -9.0457e+11, -1.17674e+12, 5.6997e+10, 150393, 59131, -48234.5, 86400
Saturn, 5.68319e+26, 60268, -9.05257e+11, -1.1756e+12, 5.64685e+10, 7126.78, -5918.43, -181.284, 86400
Ariel, 1.353e+21, 581.1, 2.9112e+12, 7.0292e+11, -3.55998e+10, -15858.4, 8974.61, -3129.84, 86400
Umbriel, 1.172e+21, 584.7, 2.91073e+12, 7.03053e+11, -3.53934e+10, -6476.88, 8277.42, 6702.36, 86400
Titania, 3.527e+21, 788.9, 2.91156e+12, 7.02875e+11, -3.53629e+10, -3908.9, 6252.45, -3852.56, 86400
Oberon, 3.014e+21, 761.4, 2.91162e+12, 7.02848e+11, -3.54575e+10, -3618.5, 6323.13, -2822.3, 86400
Miranda, 6.59e+19, 240, 2.91103e+12, 7.02987e+11, -3.56905e+10, -31350.2, 12235.3, 3611.86, 86400
Uranus, 8.68103e+25, 25559, 2.91111e+12, 7.0301e+11, -3.51034e+10, -1647.89, 6302.21, 44.9749, 86400
Triton, 2.147e+22, 1352.6, 4.09056e+12, -1.83729e+12, -5.64905e+10, 3887.65, 1167.73, -5031.09, 86400
Neptune, 1.0241e+26, 24766, 4.09013e+12, -1.83757e+12, -5.64199e+10, 2190.94, 4990.95, -152.243, 86400
Charon, 1.53e+21, 605, 1.03606e+12, -4.77627e+12, 2.11377e+11, 5215.37, -131.809, -1508, 86400
Pluto, 1.307e+22, 1195, 1.03606e+12, -4.77625e+12, 2.11402e+11, 5442.69, 70.775, -1579.71, 86400
Sun, 1.98854e+30, 696300, 3.2363e+08, -2.34849e+08, -1.80728e+07, 8.62153, 7.18024, -0.212351, 172800
Mercury, 3.302e+23, 2440, -1.01351e+10, 4.55945e+10, 4.6861e+09, -57824.6, -9152.46, 4557.45, 172800
Venus, 4.8685e+24, 6051.8, 2.51376e+10, 1.04739e+11, -1.13949e+07, -34218, 7900.82, 2083.18, 172800
Moon, 7.349e+22, 1737.53, 9.83923e+10, -1.16051e+11, -1.07297e+07, 22726.7, 18324.6, 88.9881, 172800
Earth, 5.97219e+24, 6371.01, 9.87562e+10, -1.15858e+11, -1.46176e+07, 22208.1, 19220.7, -1.99404, 172800
Phobos, 1.08e+16, 13.1, -5.04799e+10, -2.12795e+11, -2.88851e+09, 19376.9, 38738, 5195.07, 172800
Deimos, 1.8e+15, 7.8, -5.04283e+10, -2.17029e+11, -3.25617e+09, 23417.4, -10200.4, -790.377, 172800
Mars, 6.4185e+23, 3389.9, -5.02081e+10, -2.16468e+11, -3.30843e+09, 24522.1, -3424.69, -673.802, 172800
Io, 8.933e+22, 1821.3, -4.24462e+11, 6.59943e+11, 6.44848e+09, -14339.6, -70752.7, -2088.91, 172800
Europa, 4.797e+22, 1565, -4.24748e+11, 6.64157e+11, 6.59195e+09, -22607.1, -32092.1, -1007.07, 172800
Ganymede, 1.482e+23, 2634, -4.2158e+11, 6.67045e+11, 6.74951e+09, -22725.8, 3923.33, 515.016, 172800
Callisto, 1.076e+23, 2403, -4.2425e+11, 6.66095e+11, 6.67317e+09, -15174.9, -14571.8, -37.6838, 172800
Jupiter, 1.89813e+27, 71492, -4.22254e+11, 6.65272e+11, 6.6739e+09, -11186.9, -6381.78, 277.037, 172800
Mimas, 3.75e+19, 198.8, -8.96522e+11, -1.17367e+12, 5.43833e+10, 92954.3, 35889.3, -29890.1, 172800
Enceladus, 1.0805e+20, 252.3, -9.00312e+11, -1.17884e+12, 5.74581e+10, 62790.1, -24793.5, 4304.95, 172800
Tethys, 6.176e+20, 536.3, -9.05769e+11, -1.17306e+12, 5.50216e+10, -18074.6, 22291.4, -11702.9, 172800
Dione, 1.09572e+21, 562.5, -9.02328e+11, -1.17585e+12, 5.60914e+10, 25900.3, 8263.32, -9411.8, 172800
Rhea, 2.309e+21, 764.5, -9.05393e+11, -1.17729e+12, 5.71273e+10, 12758.3, -18531.3, 5807.2, 172800
Titan, 1.34553e+23, 2575.5, -9.06064e+11, -1.17594e+12, 5.65005e+10, 6216.42, -11210.1, 2639.88, 172800
Hyperion, 1.08e+19, 133, -9.06172e+11, -1.17666e+12, 5.68757e+10, 8738.8, -10411.5, 1909.89, 172800
Iapetus, 1.8059e+21, 734.5, -9.04563e+11, -1.17962e+12, 5.72516e+10, 10333.5, -5900.98, -829.266, 172800
Phoebe, 8.289e+18, 106.6, -8.92965e+11, -1.17969e+12, 5.50253e+10, 6367.99, -7541.73, -94.7052, 172800
Janus, 1.98e+18, 97, -9.11443e+11, -1.18529e+12, 6.19462e+10, -55406.6, -119795, 66005.7, 172800
Epimetheus, 5.5e+17, 69, -9.16646e+11, -1.17774e+12, 5.84132e+10, -126538, -39690.5, 29961.5, 172800
Helene, 2.547e+16, 16, -9.03737e+11, -1.17424e+12, 5.53748e+10, 3068.42, 16181.7, -11465, 172800
Telesto, 7.194e+15, 15, -9.08127e+11, -1.1754e+12, 5.64673e+10, -31502.9, -11062.8, 6500.77, 172800
Calypso, 3.597e+15, 15, -9.02149e+11, -1.17403e+12, 5.50211e+10, 22855.2, 25153.8, -18813.9, 172800
Prometheus, 1.4e+17, 74, -8.96886e+11, -1.18749e+12, 6.16651e+10, 111299, -128367, 53913.9, 172800
Pandora, 1.3e+17, 55, -8.91576e+11, -1.17163e+12, 5.28295e+10, 149621, 60414.2, -48831.1, 172800
Saturn, 5.68319e+26, 60268, -9.04641e+11, -1.17612e+12, 5.64528e+10, 7129.56, -5914.14, -181.534, 172800
Ariel, 1.353e+21, 581.1, 2.90983e+12, 7.03696e+11, -3.58702e+10, -16208.8, 9305.9, -1290.73, 172800
Umbriel, 1.172e+21, 584.7, 2.91017e+12, 7.03769e+11, -3.48143e+10, -4767.45, 8082.96, 7999.78, 172800
Titania, 3.527e+21, 788.9, 2.91122e+12, 7.03415e+11, -3.56958e+10, -5363.9, 6688.49, -3015.83, 172800
Oberon, 3.014e+21, 761.4, 2.91131e+12, 7.03394e+11, -3.57013e+10, -4582.46, 6626.73, -2156.89, 172800
Miranda, 6.59e+19, 240, 2.90832e+12, 7.04044e+11, -3.53784e+10, -31170.4, 12290, 5026.36, 172800
Uranus, 8.68103e+25, 25559, 2.91097e+12, 7.03554e+11, -3.50995e+10, -1649.06, 6301.88, 44.8856, 172800
Triton, 2.147e+22, 1352.6, 4.09089e+12, -1.83718e+12, -5.69252e+10, 2070.69, -17.869, -4733.48, 172800
Neptune, 1.0241e+26, 24766, 4.09031e+12, -1.83714e+12, -5.6433e+10, 2190.8, 4991.43, -152.298, 172800
Charon, 1.53e+21, 605, 1.03651e+12, -4.77628e+12, 2.11247e+11, 5204.46, -87.6219, -1419.03, 172800
Pluto, 1.307e+22, 1195, 1.03653e+12, -4.77625e+12, 2.11266e+11, 5443.85, 66.1257, -1590.15, 172800
Sun, 1.98854e+30, 696300, 3.24375e+08, -2.34228e+08, -1.80912e+07, 8.61259, 7.19588, -0.212062, 259200
Mercury, 3.302e+23, 2440, -1.51311e+10, 4.48037e+10, 5.07986e+09, -56687.2, -14136.7, 4045.84, 259200
Venus, 4.8685e+24, 6051.8, 2.21812e+10, 1.05422e+11, 1.68592e+08, -34444.8, 6941.72, 2083.12, 259200
Moon, 7.349e+22, 1737.53, 1.00356e+11, -1.14468e+11, -3.04112e+06, 22584.6, 18799.6, 87.0442, 259200
Earth, 5.97219e+24, 6371.01, 1.00675e+11, -1.14198e+11, -1.47899e+07, 21883.5, 19598.2, -1.98158, 259200
Phobos, 1.08e+16, 13.1, -4.88057e+10, -2.09448e+11, -2.43966e+09, 19432.8, 38971.2, 5198.19, 259200
Deimos, 1.8e+15, 7.8, -4.8405e+10, -2.1791e+11, -3.32446e+09, 23473.8, -9965.88, -787.889, 259200
Mars, 6.4185e+23, 3389.9, -4.80894e+10, -2.16764e+11, -3.36665e+09, 24575, -3198.31, -670.357, 259200
Io, 8.933e+22, 1821.3, -4.25701e+11, 6.5383e+11, 6.268e+09, -14203.9, -70465.1, -2076.24, 259200
Europa, 4.797e+22, 1565, -4.26702e+11, 6.61384e+11, 6.50494e+09, -21259.9, -31509.9, -963.281, 259200
Ganymede, 1.482e+23, 2634, -4.23544e+11, 6.67384e+11, 6.79401e+09, -23794.7, 1070.77, 393.878, 259200
Callisto, 1.076e+23, 2403, -4.25561e+11, 6.64836e+11, 6.66991e+09, -12995, -15482.8, -37.0387, 259200
Jupiter, 1.89813e+27, 71492, -4.23221e+11, 6.6472e+11, 6.69784e+09, -11177.1, -6397.11, 276.888, 259200
Mimas, 3.75e+19, 198.8, -8.88491e+11, -1.17057e+12, 5.18008e+10, 92917.4, 35881.4, -29880.1, 259200
Enceladus, 1.0805e+20, 252.3, -8.94887e+11, -1.18098e+12, 5.78301e+10, 62693, -24726.4, 4281.47, 259200
